轰堂大笑	哄堂大笑
阔卓	阔绰
因噎费食	因噎废食
不加思索	不假思索
名列前矛	名列前茅
坠落腐化	坠落腐化
除恶勿尽	除恶务尽
积毁消骨	积毁销骨
错手不及	措手不及
带罪立功	戴罪立功
层峦叠障	层峦叠嶂
弹精竭虑	殚精竭虑
中心感谢	衷心感谢
言之足足	言之凿凿
无精打彩	无精打彩
玲俐	伶俐
高吭	高亢
龙盘虎据	龙盘虎踞
沾污清白	玷污清白
卑却	卑怯
神彩飞扬	神采飞扬
终生大事	终身大事
形影相掉	形影相吊
粗制烂造	粗制滥造
走头无路	走投无路
修茸	修葺
万相更新	万象更新
泊来品	舶来品
遗笑大方	贻笑大方
造谣装骗	招摇撞骗
曲高合寡	曲高和寡
合衷共济	和衷共济
令人乍舌	令人咋舌
苦思瞑想	苦思冥想
沾污清白	沾污清白
百战不贻	百战不殆
蜇居	蛰居
纹身	文身
蹉商	嗟商
不详之兆	不祥之兆
委屈求全	委曲求全
布署已定	部署已定
巧夺天公	巧夺天工
薄暮冥冥	薄暮暝暝
震撼	震撼
足涉	跋涉
横征暴殓	横征暴敛
缀学	辍学
宵衣干食	宵衣旰食
依仗权势	倚仗权势
肆无忌殚	肆无忌惮
爆躁	暴躁
地大物搏	地大物博
再接再厉	再接再厉
璀烂夺目	璀璨夺目
羁拌	羁绊
评头评足	品头品足
呕气	怄气
万变不离其中	万变不离其宗
留芳百世	流芳百世
不浮众望	不孚众望
下功夫	下工夫
循序前进	循序渐进
痴心枉想	痴心妄想
工力悉抵	工力悉敌
穿带	穿戴
并行不背	并行不悖
意正词严	义正词严
绿树成阴	绿树成荫
凭心而论	平心而论
自翊	自诩
以警效尤	以儆效尤
越俎代包	越俎代包
打腊	打蜡
箴口不言	缄口不言
罢绌百家	罢黜百家
从常计议	从长计议
投机捣把	投机倒把
应接不遐	应接不暇
萎糜不振	萎靡不振
言不由中	言不由衷
延申	延伸
针炙	针灸
晕腥	荤腥
仗义输财	仗义疏财
身体嬴弱	身体羸弱
反工	返工
括不知耻	恬不知耻
造事者	肇事者
灿然一笑	粲然一笑
漫条斯理	慢条斯理
素昧平身	素昧平生
安份守己	安分守己
坐以待毖	坐以待毙
自抱自弃	自暴自弃
左右开工	左右开弓
不接不离	不即不离
鞠躬尽粹	鞠躬尽瘁
武装爆动	武装暴动
按途索骥	按图索骥
引伸义	引申义
对恃	对峙
水利发电	水力发电
不接不离	不接不离
喜出往外	喜出望外
穷兵渎武	穷兵黩武
挑畔	挑衅
一鼓足气	一鼓作气
成绩蜚然	成绩斐然
凶相必露	凶相毕露
如法炮治	如法炮制
富丽唐皇	富丽堂皇
照然若揭	昭然若揭
布衣疏食	布衣蔬食
生杀与夺	生杀予夺
连锁反映	连锁反应
闻过饰非	文过饰非
愤发图强	奋发图强
篷筚生辉	蓬荜生辉
做月子	坐月子
旁证博引	旁征博引
持才傲物	持才傲物
鬼斧神功	鬼斧神工
撕杀	厮杀
炉火成青	炉火纯青
有条不稳	有条不紊
入不付出	入不敷出
门廷若市	门庭若市
暗然泪下	黯然泪下
迷天大谎	弥天大谎
无人问斤	无人问津
趋之若骛	趋之若鹜
显象管	显像管
渡假村	度假村
言之足足	言之足足
尤如	犹如
痉孪	痉挛
其乐溶溶	其乐融融
范筹	范畴
杀戳	杀戮
能曲能伸	能屈能伸
水笼头	水龙头
坦护	袒护
披艰执锐	披坚执锐
沾辱	沾辱
喧然大波	轩然大波
敖敖待哺	嗷嗷待哺
买牍还珠	买椟还珠
除旧补新	除旧布新
贻然自得	怡然自得
涂毒生灵	荼毒生灵
一愁莫展	一筹莫展
粗枝大意	粗枝大叶
偃苗助长	揠苗助长
熏陶	熏陶
吹毛求刺	吹毛求疵
诛连无辜	株连无辜
五体头地	五体投地
无是生非	无事生非
张灯结采	张灯结彩
炉火成青	炉火成青
峻工	竣工
拥塞不通	壅塞不通
诩诩如生	栩栩如生
儒子可教	孺子可教
心恢意懒	心灰意懒
泰	泰
战战惊惊	战战兢兢
自侍	自恃
圆地圆艺	园地园艺
括不知耻	括不知耻
按装电话	安装电话
罗唆	啰唆
沦肌夹髓	沦肌浃髓
兵慌马乱	兵荒马乱
农名 农民
坚难困苦	艰难困苦
通货膨涨	通货膨胀
欢渡	欢度
大廷广众	大庭广众
渊远流长	源源流长
不作为训	不作为训
轶序井然	秩序井然
出类拔粹	出类拔萃
有持无恐	有恃无恐
一劳永易	一劳永逸
消遥法外	逍遥法外
刮蹭 剐蹭
昏馈无能	昏聩无能
濑口	漱口
暄闹	喧闹
司空见怪	司空见怪
开天劈地	开天辟地
坐想其成	坐享其成
弱不经风	弱不禁风
倍受欢迎	备受欢迎
饮鸠止渴	饮鸩止渴
如期峻工	如期竣工
老俩口	老两口
揣揣不安	惴惴不安
草管人命	草菅人命
大杀风景	大煞风景
五色斑澜	五色斑斓
羁靡	羁縻
凤冠霞披	凤冠霞帔
步入正规	步入正轨
装祯	装帧
脏款	赃款
喧染	渲染
抓耳扰腮	抓耳挠腮
麻木不忍	麻木不仁
摇摇欲堕	摇摇欲堕
直接了当	直截了当
含辛如苦	含辛茹苦
炯然	迥然
啼听	谛听
声音宏亮	声音洪亮
恶灌满盈	恶贯满盈
杀君夺位	杀君夺位
涌跃报名	踊跃报名
盘根错结	盘根错节
老奸巨滑	老奸巨猾
情不自尽	情不自禁
贬眼	眨眼
照本宣课	照本宣科
金殴无缺	金瓯无缺
望而怯步	望而怯步
精焊	精悍
委屈婉转	委曲婉转
瞄摹	描摹
瑕迩闻名	遐迩闻名
佳言懿行	嘉言懿行
丢人显眼	丢人现眼
按步就班	按部就班
贯输	灌输
暴舔天物	暴殄天物
扶老偕幼	扶老携幼
狐度	弧度
成出不穷	层出不穷
脑羞成怒	恼羞成怒
曲打成招	屈打成招
鬼域技俩	鬼蜮伎俩
凑和	凑合
有口皆杯	有口皆碑
精诚所致	精诚所至
雕彻	雕砌
真缔	真谛
前车之戒	前车之戒
涣然一新	焕然一新
拾人牙惠	拾人牙慧
一见衷情	一见钟情
协从	胁从
吁寒问暖	嘘寒问暖
安置若素	安之若素
布署	部署
大多类同	大多雷同
沽恶不悛	沽恶不怙
尾大不吊	尾大不掉
势不可挡	势不可当
推心至腹	推心置腹
不温不火	不瘟不火
绝不罢休	决不罢休
别出心才	别出心裁
针贬	针砭
收来人心	收揽人心
辨证法	辩证法
浅尝则止	浅尝辄止
鸩形鹄面	鸠形鹄面
严正申明	严正声明
以一挡十	以一当十
心旷神饴	心旷神怡
磨肩擦背	摩肩擦背
诋砺	砥砺
事得其反	适得其反
飞扬拔扈	飞扬跋扈
能言善辨	能言善辩
熟练	熟练
志大材疏	志大才疏
利害悠关	利害攸关
仁致义尽	仁至义尽
坠落腐化	堕落腐化
圆林圆丁	园林园丁
爆发户	暴发户
瞳憬	憧憬
门里出生	门里出身
歇事宁人	息事宁人
轻歌慢舞	轻歌曼舞
英雄倍出	英雄辈出
疏峻	疏浚
可望不可	可望不可
一盖而论	一概而论
分庭抗理	分庭抗礼
器度不凡	气度不凡
专心至志	专心致志
心劳日绌	心劳日拙
永往直前	勇往直前
蜂涌而至	蜂拥而至
断章取意	断章取义
军事布署	军事部署
一杯黄土	一抔黄土
鬼鬼崇崇	鬼鬼祟祟
不既不离	不即不离
一獗不振	一蹶不振
惹事生非	惹是生非
墙恒	墙垣
万马齐暗	万马齐喑
含蓄蕴籍	含蓄蕴藉
不求深解	不求甚解
义气用事	意气用事
如丧考比	如丧考妣
一如继往	一如既往
如雷灌耳	如雷贯耳
大至	大致
洗耳躬听	洗耳恭听
娇揉造作	矫揉造作
有持无恐	有持无恐
独挡一面	独当一面
斧底抽薪	釜底抽薪
轮功行赏	论功行赏
惩前毙后	惩前毖后
老态龙肿	老态龙钟
为富不忍	为富不仁
意兴阑姗	意兴阑珊
沆泄一气	沆瀣一气
暴烈恣睢	暴烈恣睢
央央大国	泱泱大国
抒难	纾难
呕歌	讴歌
夸夸奇谈	夸夸其谈
末齿不忘	没齿不忘
望风披糜	望风披靡
戳力同心	戳力同心
千古一痛	千古一恸
融汇贯通	融会贯通
令人发直	令人发指
钟灵玉秀	钟灵毓秀
秘决	秘诀
跌挫强敌	迭挫强敌
黄梁美梦	黄粱美梦
流言非语	流言飞语
虎视耽耽	虎视眈眈
赞不决口	赞不绝口
桀傲不驯	桀骜不驯
无细可乘	无隙可乘
无与论比	无与伦比
泥砂俱下	泥沙俱下
两军对恃	两军对峙
痛心嫉首	痛心疾首
募然	蓦然
循章摘句	寻章摘句
远见灼识	远见卓识
文恬武嘻	文恬武嬉
回然不同	迥然不同
和霭可亲	和蔼可亲
璀烂夺目	璀烂夺目
吉详	吉祥
开门缉盗	开门揖盗
谈笑风声	谈笑风生
辩析	辨析
简炼	简练
中裁	仲裁
即然	既然
材疏学浅	才疏学浅
目不瑕接	目不暇接
叹为观之	叹为观止
肺腹之言	肺腑之言
了望	瞭望
歪风斜气	歪风邪气
鬼鬼崇崇	鬼鬼崇崇
天翻地复	天翻地覆
毛骨耸然	毛骨悚然
大声急呼	大声疾呼
白晰	白皙
坐右铭	座右铭
学习肆业	学习肄业
圆丁	园丁
大相径廷	大相径庭
大慨	大概
并发	迸发
不拘小结	不拘小节
契而不舍	契而不舍
大现身手	大显身手
招雪	昭雪
水乳交溶	水乳交融
翁声翁气	瓮声瓮气
揉躏	蹂躏
亵赎	渎赎
凭添	平添
醮水	蘸水
神采弈弈	神采奕奕
立功渎罪	立功渎罪
流览报纸	浏览报纸
后发治人	后发制人
风彩动人	风釆动人
望洋心叹	望洋兴叹
受益非浅	受益匪浅
烁石流金	铄石流金
推陈相见	推诚相见
艰不可摧	坚不可摧
风雨萧萧	风雨潇潇
宥于成见	囿于成见
发扬广大	发扬光大
气势凶凶	气势汹汹
磨崖石刻	摩崖石刻
民生凋蔽	民生凋敝
义不容词	义不容辞
向偶而泣	向隅而泣
付食品	副食品
鞭僻入理	鞭辟入理
图谋不规	图谋不轨
以毒功毒	以毒攻毒
九州	九州
矫糅造作	矫揉造作
额首称庆	额手称庆
言简意骇	言简意赅
胜况空前	盛况空前
莫明其妙	莫名其妙
玩世不公	玩世不恭
中流抵柱	中流砥柱
分岐	分歧
鞭僻入理	鞭辟入里
虚无缥渺	虚无缥缈
糜糜之音	靡靡之音
烦锁	烦琐
一张一驰	一张一弛
理曲词穷	屈曲词穷
无耻滥言	无耻谰言
无艰不摧	无坚不摧
物极必返	物极必反
真知卓见	真知灼见
文诌诌	文绉绉
协从不问	胁从不问
醍醐贯顶	醍醐灌顶
跚跚来迟	姗姗来迟
调以轻心	掉以轻心
火中取粟	火中取栗
翁中捉鳖	翁中捉鳖
冒然从事	贸然从事
驾奴	驾驭
独占螯头	独占鳌头
自名得意	自鸣得意
复没	覆没
申张	伸张
移花截木	移花接木
梦餍	梦魇
冲耳不闻	充耳不闻
踢除	剔除
对针下药	对症下药
欧打	殴打
跃武扬威	跃武扬威
会萃	荟萃
畏崽不前	畏葸不前
峻工验收	竣工验收
老实本份	老实本分
滥芋充数	滥竽充数
相形见拙	相形见拙
宽弘大量	宽宏大量
沾辱	玷辱
出人投地	出人头地
缈视	藐视
怠漫	怠慢
披星带月	披星戴月
钓消执照	吊消执照
古今杂揉	古今杂糅
堵绝浪费	杜绝浪费
愤概	愤慨
人所不耻	人所不齿
沓无音信	杳无音信
尚待商确	尚待商榷
以逸代劳	以逸待劳
急言厉色	疾言厉色
气喘嘘嘘	气喘吁吁
感恩带德	感恩戴德
祸国秧民	祸国殃民
卑却	卑却
寂莫	寂寞
批沙拣金	披沙拣金
一涌而入	一拥而入
爱带	爱戴
污告	诬告
金壁辉煌	金碧辉煌
立功渎罪	立功赎罪
翻复无常	反复无常
磕磕拌拌	磕磕绊绊
奇角之势	掎角之势
丰功伟迹	丰功伟绩
如火如茶	如火如荼
誓不两立	势不两立
感概	感慨
大有稗益	大有裨益
费寝忘食	废寝忘食
函养	涵养
万籁具寂	万籁俱寂
执谜不悟	执迷不悟
全神灌注	全神贯注
和言悦色	和颜悦色
圆林	园林
歪门斜道	歪门邪道
贫脊	贫瘠
沿木求鱼	沿木求鱼
按居乐业	安居乐业
蜇伏	蛰伏
委屈婉转	曲屈婉转
始作踊者	始作俑者
观磨教	观摩教
慎密	缜密
徒坡	陡坡
害躁	害臊
迁徒	迁徙
病入膏盲	病入膏肓
回	回
天然汽	天然气
贮立	伫立
分道扬标	分道扬镳
耳儒目染	耳濡目染
斥之以鼻	嗤之以鼻
其乐淘淘	其乐陶陶
谋取暴利	牟取暴利
藕断丝联	藕断丝连
不堪之论	不刊之论
众口烁金	众口铄金
引伸	引申
浮想连翩	浮想联翩
鸠占雀巢	鸠占鹊巢
题纲	提纲
浸人心脾	浸人心脾
慢不经心	漫不经心
玷亲带故	沾亲带故
层见迭出	层见叠出
世外桃源	世外桃源
安兵不动	按兵不动
评头评足	评头品足
照像机	照相机
指高气扬	高气扬趾
迟钝	迟钝
非夷所思	匪夷所思
身体姿式	身体姿势
商确	商榷
束手待毖	束手待毙
寡不抵众	寡不敌众
百尺杆头	百尺竿头
竭泽而鱼	竭泽而渔
兰天白云	蓝天白云
发号司令	发号施令
集液成裘	集腋成裘
暴烈恣睢	暴戾恣睢
雄纠纠	雄赳赳
污合之众	乌合之众
一喏千金	一诺千金
忍劳忍怨	任劳任怨
百战不贻	百战不贻
不卑不吭	不卑不亢
金榜提名	金榜题名
天礼难容	天理难容
招惹事非	招惹是非
截止目前	截至目前
层峦迭障	层峦叠嶂
惊赅	惊骇
一层不变	一成不变
座落	坐落
明辩是非	明辨是非
精神焕散	精神涣散
相形见拙	相形见绌
气极败坏	气急败坏
绉纹	皱纹
博识恰闻	博识洽闻
残无人道	惨无人道
赌搏	赌博
忘夫所以	忘夫所以
雪中送碳	雪中送炭
反工重来	返工重来
供献	贡献
收来人心	收来人心
穷途没路	穷途末路
宣染	渲染
惮精竭虑	殚精竭虑
不另赐教	不吝赐教
遗害无穷	贻害无穷
循规导矩	循规蹈矩
摄服	慑服
无计之谈	无稽之谈
临摩书法	临摹书法
陪偿	赔偿
森严壁磊	森严壁垒
挤挤一堂	济济一堂
人情事故	人情世故
苦脑	苦恼
振撼	震撼
按装	安装
陈词烂调	陈词滥调
迫不急待	迫不及待
良晨美景	良辰美景
挖墙角	挖墙脚
骄健	矫健
长嘘短叹	长嘘短吁
沉缅往事	沉湎往事
口株笔伐	口诛笔伐
烂竽充数	滥竽充数
声名雀起	声名鹊起
急待	亟待
纂夺	篡夺
事过景迁	事过境迁
严励	严厉
侯车室	候车室
功亏一蒉	功亏一篑
三翻五次	三番五次
死皮癞脸	死皮赖脸
人心项背	人心向背
拥带	拥戴
推崇倍至	推崇备至
床第之私	床笫之私
流览	浏览
望而怯步	望而却步
动则得咎	动则得辄
决对服从	绝对服从
部置	布置
厌厌欲睡	恹恹欲睡
开消	开销
富丽堂黄	富丽堂皇
尝罚	赏罚
测隐之心	恻隐之心
再接再励	再接再厉
欣尝	欣赏
鹿葺	鹿茸
通辑	通缉
作贼心虚	做贼心虚
愤闷不平	愤懑不平
名哲保身	明哲保身
淹没无闻	湮没无闻
烩炙人口	烩炙人口
水泻不通	水泄不通
英雄气慨	英雄气慨
轶序井然	轶序井然
影影约约	隐隐约约
横度长江	横渡长江
意正词严	义横征暴
合盘托出	和盘托出
靡烂不堪	糜烂不堪
湎怀先烈	缅怀先烈
脉博微弱	脉搏微弱
宽敝	宽敞
规距	规矩
雄材大略	雄才大略
理曲词穷	理屈词穷
弄巧成绌	弄巧成绌
手急眼快	手疾眼快
糜日不思	靡日不思
技俩	伎俩
无所不致	无所不至
蛛丝蚂迹	蛛丝马迹
鼎立	鼎力
百练成钢	百炼成钢
貌和神离	貌合神离
忧心冲冲	忧心忡忡
当人不让	当仁不让
脉博	脉搏
漫骂	谩骂
暮蔼	暮霭
披沙捡金	披沙拣金
作奸犯课	作奸犯科
融汇	融会
相辅相承	相辅相成
食不果腹	食不裹腹
坐无虚席	座无虚席
接长补短	截长补短
材华横溢	才华横溢
宽茹	宽恕
蜂涌	蜂拥
刻划人物	刻画人物
不醒人事	不省人事
篷筚生辉	蓬筚生辉
名珠暗投	明珠暗投
拨乱返正	拨乱反正
严悛	严峻
甘败下风	 甘拜下风
飞声文坛	蜚声文坛
历尽坚辛	历尽艰辛
座标系	坐标系
以老卖老	倚老卖老
悚人听闻	耸人听闻
伦落	沦落
财物科	财务科
无耻之犹	无耻之尤
幅射	辐射
整伤	整饬
秀外惠中	秀外慧中
蹒姗	蹒跚
稳操胜卷	稳操胜券
无泄可击	无懈可击
煤碳	煤炭
发韧	发轫
易如翻掌	易如反掌
殉情枉法	徇情枉法
裨官野史	稗官野史
一视同人	一视同仁
爱不失手	爱不释手
辟头盖脸	劈头盖脸
知书达礼	知书达理
弃甲拽兵	弃甲曳兵
破斧沉舟	破釜沉舟
娘两	娘俩
造谣装骗	招谣装骗
留连忘返	流连忘返
珍重其事	郑重其事
漫延	蔓延
云宵	云霄
不贻余力	不遗余力
雷历风行	雷厉风行
粗枝大意	粗枝大意
喝采	喝彩
改弦更章	改弦更张
无礼漫骂	无礼谩骂
完壁归赵	完璧归赵
史无前列	史无前例
悬梁刺骨	悬梁刺股
投桃抱李	投桃报李
阴谋鬼计	阴谋诡计
焚膏既晷	焚膏继晷
甘之如怡	甘之如饴
造旨	造诣
可资借戒	可资借戒
骠肥体壮	膘肥体壮
禁若寒蝉	噤若寒蝉
身体嬴弱	身体嬴弱
不作为训	不足为训
翁中捉鳖	瓮中捉鳖
作歇时间	作歇时间
入场卷	入场券
先理后兵	先礼后兵
引疚自责	引咎自责
察颜观色	察言观色
挺而走险	铤而走险
出奇致胜	出奇制胜
攻城掠地	攻城略地
烩炙人口	脍炙人口
微言大意	微言大义
庸庸录录	庸庸碌碌
桃梨满园	桃李满园
报筹	报酬
披肝厉胆	披肝沥胆
忽然开朗	忽然开朗
自食其利	自食其力
渲泄	宣泄
板上走丸	坂上走丸
前车之戒	前车之鉴
一促而就	一蹴而就
深受蒙敝	深受蒙蔽
居心不测	居心叵测
凋蔽	凋敝
武装	武装
搔痒病	瘙痒病
长嘘短叹	长吁短叹
惨绝人圜	寰绝人圜
脱化	蜕化
精堪	精湛
连篇累椟	连篇累牍
棵粒归仓	颗粒归仓
千锤百练	千锤百炼
越俎代包	越俎代庖
协迫	胁迫
山拗	山坳
藏诟纳污	藏垢纳污
通谍	通牒
挤身三强	跻身三强
不郎不莠	不郎不秀
保护国萃	保护国粹
决择	抉择
世外桃园	世外桃源
激文	檄文
史无前列	 史无前例
振笔急书	振笔疾书
推托责任	推脱责任
不径而走	不胫而走
色厉内忍	色厉内荏
欢渡春节	欢度春节
沿木求鱼	缘木求鱼
缠绵悱测	缠绵悱恻
判若洪沟	判若鸿沟
行踪鬼秘	行踪诡秘
科头洗足	科头跣足
